Chave da ocorrência;Resumo;Campo personalizado (Data Agendamento);Campo personalizado (ID Externo);Situação;Rótulos;Campo personalizado (Estagio TLC);Status;SGT
TLC-2338;TROCA DE DISPOSITIVO ;29/04/2020 00:00;INC20206710165;Para Fazer;;;;
TLC-2335;MANUTENCAO DE CADASTRO ;29/04/2020 00:00;SCTASK0822202;Para Fazer;;;;
TLC-2326;ATIVACAO DE NOVA LINHA;30/04/2020 00:00;SCTASK0822190;Em Andamento;;Pendente Cliente;;
TLC-2325;ATIVACAO DE NOVA LINHA;30/04/2020 00:00;SCTASK0822163;Em Andamento;;Pendente Cliente;;
TLC-2324;ATIVACAO DE NOVA LINHA;30/04/2020 00:00;SCTASK0822150;Em Andamento;;Pendente Cliente;;
TLC-2322;NOVO DISPOSITIVO COM LINHA ;30/04/2020 00:00;SCTASK0822695;Em Andamento;;Pendente Operadora;;
TLC-2318;RELATORIO POR CENTRO DE CUSTO MOVEL;30/04/2020 00:00;SCTASK0811695;Em Andamento;;Pendente Cliente;;
TLC-2314;STATUS DE LINHA;30/04/2020 00:00;INC20206706667;Em Andamento;;Pendente Operadora;;
TLC-2121;TROCA DE DISPOSITIVO [AVARIA];30/04/2020 00:00;INC000058084409;Em Andamento;;Pendente Fornecedor;;
TLC-2010;DUVIDAS SOBRE O DISPOSITIVO;30/04/2020 00:00;SCTASK0753351;Em Andamento;;Pendente Cliente;;
TLC-1977;ATIVAÇÃO DE NOVA LINHA;30/04/2020 00:00;SCTASK0751364;Em Andamento;;Pendente Cliente;;
TLC-1929;NOVO DISPOSITIVO COM LINHA;30/04/2020 00:00;SCTASK0748406;Em Andamento;;Pendente Cliente;;
TLC-1924;Ativação dos pacotes de roaming GET;30/04/2020 00:00;SCTASK0817595;Em Andamento;;Ativação de Roaming;;
TLC-1912;NOVO DISPOSITIVO COM LINHA;30/04/2020 00:00;SCTASK0744155;Em Andamento;;Pendente Cliente;;
TLC-1677;Usuário desligado;30/04/2020 00:00;NVTA84939;Em Andamento;;Pendente Cliente;;
TLC-1007;TROCA DE DISPOSITIVO [SOFTWARE];30/04/2020 00:00;INC20190197568;Em Andamento;;Pendente Cliente;;
TLC-580;TRANSFERÊNCIA DE TITULARIDADE;30/04/2020 00:00;SCTASK0600254;Em Andamento;;Pendente Operadora;;
